KIC,a_fdnu,a_uncorr_mass,a_corr_mass,a_corr_mass_e,a_gfdnu,a_gcorr_mass,g_fdnu,g_uncorr_mass,g_corr_mass,g_corr_mass_e,g_gfdnu,g_gcorr_mass,gs_fdnu,gs_uncorr_mass,gs_corr_mass,gs_corr_mass_e,gs_gfdnu,gs_gcorr_mass,L_fdnu,L_uncorr_mass,L_corr_mass,L_corr_mass_e,L_gfdnu,L_gcorr_mass
8365782,1.022474710756832,3.614482528373798,3.9505397027123133,0.25329453917117617,1.0224746448662516,3.9505386843856014,1.0107531590815275,3.4448000811141513,3.5953771355233926,0.20812310015379337,1.010753374055173,3.5953801942784174,1.000751169241164,3.3668559636483955,3.3769836825114314,0.19557331106909073,1.000751332247236,3.376985882734613,1.0106943204275787,3.4836432502094317,3.6350716418479214,0.21289871639250932,1.0106946313333898,3.635076114675743
2579142,1.000644728228029,3.4041827112250536,3.4129702958155006,1.268906823467237,1.0006447282280293,3.412970295815503,1.0101300203521302,3.9457620881876516,4.108090558496194,1.5257886417548046,1.0101300203784422,4.108090558924227,0.9977817350032555,3.3766658249366333,3.3468040125158667,1.2416754945444124,0.9977817350032555,3.3468040125158667,0.9988308714127085,3.306562760667955,3.291126669024472,1.221952204585863,0.9988308714127085,3.291126669024472
9612933,1.0281201957357442,3.927815815672282,4.388606838101047,0.9247601219788606,1.0281200942968831,4.388605106104282,,,,,,,1.0127424005958436,3.7523964456996017,3.94734138583931,0.8249224092371487,1.0127424644196352,3.947342380897157,1.027986549549578,3.9197319115279203,4.3772977982095345,0.9150126815177368,1.027986574004788,4.377298214743158
7971558,,,,,,,0.989727755568221,2.897603310544108,2.7803657351925115,0.2899134964229321,0.9897277558853739,2.7803657387563248,,,,,,,,,,,,
10547065,0.9994124190571141,2.8916973664988257,2.884906929266872,0.285852115493322,0.999412418535288,2.8849069232416515,0.9914222999020886,2.809803193619995,2.714629939321242,0.2584961708813164,0.9914223060105898,2.7146300062243975,,,,,,,0.997501588730637,2.854641987569708,2.826220443818825,0.2687460656590958,0.9975015742783964,2.8262202800287417
10094550,1.018156461185155,3.3165873634739125,3.564097106406311,0.34141878140360954,1.018156471876658,3.564097256110438,0.9960265192720568,3.0965284123274537,3.047604990315904,0.280623807135937,0.996026558136366,3.0476054659782172,1.0127386457607053,3.290279495797846,3.4611651511479935,0.3182686209991137,1.0127387288660703,3.461166287241417,,,,,,
10736390,1.021495463902554,3.585289644622859,3.9036423095875254,0.34539966005036704,1.021495421982517,3.9036416687983033,,,,,,,1.006094060314904,3.4147636775776435,3.4987667730082452,0.29532086633084176,1.0060942197165001,3.498768990332301,,,,,,
3758458,1.0146612564551483,3.2512894556039673,3.4461957809306134,0.32192681637757403,1.0146612107078816,3.446195159426535,,,,,,,1.0105646771075343,3.1877600150997427,3.324620472531205,0.2989508247967567,1.010564817119438,3.3246223150121406,1.0139194566873178,3.2426017633634054,3.4269474336847328,0.30977477139547277,1.0139194758208352,3.426947692362325
5564131,,,,,,,1.0119755491060793,3.2156154889344157,3.3724396719592624,0.3717952081125754,1.011975503418408,3.3724390629370187,,,,,,,1.0108305073808683,3.1935299162890876,3.334143990260013,0.3497490377257663,1.0108305242976683,3.3341442134548935
4370592,1.0086991432836332,2.965527204084891,3.070071713531143,0.33409287989627673,1.0086990619507181,3.070070723353434,0.9915614567948462,2.772673081485353,2.6802617806315503,0.28259698113476145,0.9915614707711845,2.680261931747738,0.9949682317299646,2.8195335732143905,2.7632115013438674,0.2913848767640943,0.9949682627662325,2.7632118461177977,,,,,,
5097690,1.0266479006044151,3.4100089927955595,3.788276046256505,0.28642159023634944,1.0266477841222423,3.788274327004752,0.9980014409951099,3.0995538386815604,3.0748494569539044,0.21592728035839914,0.9980015003937349,3.074850188984295,1.0088867557549093,3.2215847131682347,3.3376380600502027,0.2346421745457885,1.0088868520229048,3.3376393339603636,1.0262402031134645,3.4059618711886976,3.777773176702291,0.2668481278791252,1.0262402231170593,3.7777734712494975
9286851,1.0179901761463355,3.3129818246022724,3.5578972453689848,0.43411970753084983,1.0179894989854918,3.5578877786124163,1.0130129197914015,3.2742923195069924,3.448080422049162,0.4102345657161137,1.0130130635716967,3.448082379639699,1.0040972996400652,3.1870460809559273,3.2396011119618695,0.38568931028911674,1.004097608296478,3.239605095337266,1.0253853690671642,3.3991493281130283,3.75767062094246,0.44833346822041803,1.0253850809440583,3.7576663974717306
6866251,1.0188256099563588,3.1401106725831114,3.383330062493224,0.19984021390034987,1.018823617831249,3.383303600665261,1.010631424898349,3.063509817375536,3.1958800391887725,0.167016620115923,1.0106317058180005,3.1958835925549516,1.0027289789908154,2.9723160431449807,3.0048946519308903,0.1590373091747652,1.0027294338492205,3.004900104261669,,,,,,
5106376,1.0198448658777364,3.5259488104233556,3.81427901480842,0.3786559581447513,1.0198448542854153,3.8142788413846094,0.9985304172872183,3.258784833082769,3.2396708037698443,0.3096091021290382,0.9985304901545317,3.2396717494240965,1.0048416297798597,3.3479478979218142,3.4132583997236767,0.326482064337194,1.0048417157974703,3.413259568466537,1.0152370482096797,3.472849301521445,3.689400218468217,0.3531189943954795,1.015237114504539,3.689401182137906
4562675,,,,,,,0.9944909191436064,3.03156246352171,2.9653079948818912,0.1909340795468039,0.9944909986771187,2.965308943473312,1.0033994335423673,3.146474845061089,3.1894784352059786,0.20547576047318453,1.0033995429801836,3.1894798266742246,1.013852241171087,3.2463765660599435,3.4300271437066434,0.22308001703292396,1.013852341566482,3.430028502322691
8525150,,,,,,,,,,,,,1.0015816460251787,3.1739603384878783,3.194088355708655,0.15988312815455225,1.0015817775192435,3.19409003307064,,,,,,
5631956,1.0134017505095962,3.2262084694451976,3.4026636961943018,0.6018621311490365,1.0134017387211929,3.4026635378682633,0.9895792687093489,2.891827528358327,2.773158812167882,0.48337984071811707,0.9895792686246484,2.773158811218435,,,,,,,1.008097543155234,3.1844587462509577,3.2888635253672787,0.60009438993219,1.0080976075836718,3.2888643661444874
9245283,1.0121781061420052,3.2514253593202915,3.41272697343752,0.2777306059493066,1.0121780846932347,3.4127266841651283,,,,,,,0.994772385050797,3.034210305934697,2.9712593543455923,0.22828548042584887,0.9947723905106304,2.97125941957692,,,,,,
